Departamento,Código Dane departamento,Municipio,Código Dane municipio,Año,Hembras Cria Comercial Familiar,Hembras Reemplazo Comercial Familiar,Machos Reproductores Comercial Familiar,Porcinos Lactantes Comercial Familiar,Porcinos Precebo Comercial Familiar,Porcinos Levante Comercial Familiar,Porcinos Ceba Comercial Familiar,Total Predios Porcinos Comercial Familiar,Hembras Cria Comercial Industrial,Hembras Reemplazo Comercial Industrial,Machos Reproductores Comercial Industrial,Porcinos Lactantes Comercial Industrial,Porcinos Precebo Comercial Industrial,Porcinos Levante Comercial Industrial,Porcinos Ceba Comercial Industrial,Total Predios Porcinos Comercial Industrial,Hembras Cria Producción Tecnificada,Hembras Reemplazo Producción Tecnificada,Machos Reproductores Producción Tecnificada,Porcinos Lactantes Producción Tecnificada,Porcinos Precebo Producción Tecnificada,Porcinos Levante Producción Tecnificada,Porcinos Ceba Producción Tecnificada,Total Granjas Porcinas Tecnificadas,Hembras Cria Traspatio,Hembras Reemplazo Traspatio,Machos Reproductores Traspatio,Porcinos Lactantes Traspatio,Porcinos Precebo Traspatio,Porcinos Levante Traspatio,Porcinos Ceba Traspatio,Total Predios Traspatio
Antioquia,05,Medellín,05001,2021,43,16,6,170,226,593,15,19,501,34,18,700,980,1661,0,20,5549,707,81,6933,18962,26405,0,27,1118,111,0,0,0,1800,1476,475
Antioquia,05,Abejorral,05002,2021,13,0,2,0,10,65,20,4,21,3,2,50,43,50,52,2,0,0,0,0,0,0,0,0,70,20,0,0,0,105,86,62
Antioquia,05,Abriaquí,05004,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,4,60,67,60,49,15
Antioquia,05,Alejandría,05021,2021,0,0,0,0,0,143,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,2,0,0,135,111,34
Antioquia,05,Amagá,05030,2021,24,27,1,1,68,239,0,7,204,38,7,357,475,1474,0,12,876,38,12,1560,1500,400,0,3,158,66,0,0,0,263,216,119
Antioquia,05,Amalfi,05031,2021,69,13,13,142,139,764,0,31,84,5,6,102,72,335,0,6,0,0,0,0,0,0,0,0,6,1,0,0,0,54,44,34
Antioquia,05,Andes,05034,2021,19,0,1,24,48,142,32,9,167,2,6,227,183,372,0,6,767,133,12,1325,2220,0,0,5,259,111,0,0,0,432,354,102
Antioquia,05,Angelópolis,05036,2021,15,1,0,10,51,93,0,5,10,13,0,11,12,27,0,1,210,856,3,2090,2200,480,0,2,94,41,0,0,0,153,125,36
Antioquia,05,Angostura,05038,2021,0,0,0,0,0,73,0,3,0,0,0,0,0,0,0,0,727,116,1,1217,0,0,0,1,1034,446,0,0,0,1723,1413,177
Antioquia,05,Anorí,05040,2021,96,10,12,119,271,296,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,12,4,0,0,414,339,174
Antioquia,05,Santa Fe de Antioquia,05042,2021,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,649,0,0,0,2524,2070,196
Antioquia,05,Anzá,05044,2021,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,550,20,6,750,1600,600,0,1,46,20,0,0,0,77,63,34
Antioquia,05,Apartadó,05045,2021,299,40,49,260,51,1380,908,110,210,9,26,143,117,226,569,12,0,0,0,0,0,0,0,0,229,15,35,0,0,2061,1690,482
Antioquia,05,Arboletes,05051,2021,306,28,47,443,119,526,406,96,11,3,5,26,10,21,0,1,0,0,0,0,0,0,0,0,778,200,107,0,0,7002,5742,1882
Antioquia,05,Argelia,05055,2021,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,0,0,99,81,56
Antioquia,05,Armenia,05059,2021,0,0,0,0,0,60,0,1,155,31,4,101,351,1002,0,5,170,25,4,300,540,1030,0,2,67,29,0,0,0,112,92,53
