AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2023,1,70,SUCRE,71753,994060,"7,22"
2023,3,81,ARAUCA,26693,313097,"8,53"
2023,2,52,NARIÑO,129209,1699570,"7,60"
2021,4,54,NORTE DE SANTANDER,198306,1654341,"11,99"
2023,2,66,RISARALDA,219991,972304,"22,63"
2023,1,27,CHOCÓ,23614,595138,"3,97"
2022,4,81,ARAUCA,25907,307628,"8,42"
2023,2,44,LA GUAJIRA,50724,1038397,"4,88"
2023,1,63,QUINDÍO,129564,563076,"23,01"
2023,3,68,SANTANDER,436155,2357127,"18,50"
2023,1,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",9423,62269,"15,13"
2023,2,86,PUTUMAYO,14766,383042,"3,85"
2021,2,50,META,146401,1098104,"13,33"
2023,1,97,VAUPÉS,109,46777,"0,23"
2021,4,18,CAQUETA,36020,418267,"8,61"
2022,3,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",5548,62255,"8,91"
2023,3,66,RISARALDA,218761,972304,"22,50"
2021,3,18,CAQUETA,36142,418267,"8,64"
2023,1,11,BOGOTÁ D.C.,2298520,7907281,"29,07"
2022,2,15,BOYACÁ,156495,1285035,"12,18"
2021,1,68,SANTANDER,385250,2312097,"16,66"
2022,1,44,LA GUAJIRA,53869,1017121,"5,30"
2021,3,91,AMAZONAS,1318,82171,"1,60"
2023,1,17,CALDAS,172135,1040284,"16,55"
2022,4,94,GUAINÍA,818,55091,"1,48"
2023,1,23,CÓRDOBA,131626,1898911,"6,93"
2023,2,08,ATLÁNTICO,484627,2803565,"17,29"
2022,3,11,BOGOTÁ D.C.,2261755,7873316,"28,73"
2023,2,95,GUAVIARE,1576,97616,"1,61"
2021,1,94,GUAINÍA,1560,53583,"2,91"
2023,1,20,CESAR,134609,1373581,"9,80"
2022,2,23,CÓRDOBA,130106,1882211,"6,91"
2021,2,18,CAQUETA,33759,418267,"8,07"
2022,2,70,SUCRE,71902,980942,"7,33"
2022,4,99,VICHADA,1057,120942,"0,87"
2023,2,99,VICHADA,1092,123304,"0,89"
2022,3,54,NORTE DE SANTANDER,192002,1678975,"11,44"
2021,4,25,CUNDINAMARCA,573571,3233689,"17,74"
2022,3,85,CASANARE,48973,459973,"10,65"
2023,1,99,VICHADA,1157,123304,"0,94"
2022,3,86,PUTUMAYO,10321,377095,"2,74"
2022,1,17,CALDAS,172338,1034151,"16,66"
2023,2,54,NORTE DE SANTANDER,187100,1696740,"11,03"
2021,3,44,LA GUAJIRA,57064,993081,"5,75"
2023,1,91,AMAZONAS,1403,85056,"1,65"
2022,1,41,HUILA,141566,1164463,"12,16"
2023,1,73,TOLIMA,225718,1374384,"16,42"
2021,3,19,CAUCA,96634,1525284,"6,34"
2022,2,95,GUAVIARE,1842,94625,"1,95"
2023,2,97,VAUPÉS,102,46777,"0,22"
2022,2,91,AMAZONAS,1222,83690,"1,46"
2021,2,15,BOYACÁ,152260,1271639,"11,97"
2023,1,19,CAUCA,99267,1558045,"6,37"
2023,1,41,HUILA,144445,1178453,"12,26"
2021,4,73,TOLIMA,200147,1361931,"14,70"
2021,4,94,GUAINÍA,1011,53583,"1,89"
2022,3,70,SUCRE,69731,980942,"7,11"
2021,2,73,TOLIMA,199175,1361931,"14,62"
2021,3,25,CUNDINAMARCA,539025,3233689,"16,67"
2023,2,85,CASANARE,54810,467775,"11,72"
2021,2,76,VALLE DEL CAUCA,886005,4613764,"19,20"
2021,3,66,RISARALDA,217507,968287,"22,46"
2022,2,19,CAUCA,94957,1541265,"6,16"
2022,1,76,VALLE DEL CAUCA,927515,4626064,"20,05"
2022,1,23,CÓRDOBA,133975,1882211,"7,12"
2021,3,73,TOLIMA,198210,1361931,"14,55"
2021,4,95,GUAVIARE,2356,91717,"2,57"
2021,1,47,MAGDALENA,114705,1454154,"7,89"
2023,1,44,LA GUAJIRA,48660,1038397,"4,69"
2022,4,50,META,160292,1113810,"14,39"
2022,2,47,MAGDALENA,143823,1476366,"9,74"
2021,3,08,ATLÁNTICO,434149,2741002,"15,84"
2022,2,63,QUINDÍO,127641,559810,"22,80"
2022,4,17,CALDAS,170543,1034151,"16,49"
2023,3,17,CALDAS,173023,1040284,"16,63"
2023,1,18,CAQUETA,33174,425053,"7,80"
2023,3,41,HUILA,151592,1178453,"12,86"
2021,4,05,ANTIOQUIA,1512907,6726219,"22,49"
2022,1,47,MAGDALENA,189335,1476366,"12,82"
2021,2,44,LA GUAJIRA,57944,993081,"5,83"
2021,4,99,VICHADA,1281,118270,"1,08"
2021,4,63,QUINDÍO,126492,557099,"22,71"
2023,1,95,GUAVIARE,1533,97616,"1,57"
2021,1,44,LA GUAJIRA,55102,993081,"5,55"
2023,2,20,CESAR,134455,1373581,"9,79"
2022,4,63,QUINDÍO,129359,559810,"23,11"
2021,4,66,RISARALDA,222026,968287,"22,93"
2023,2,27,CHOCÓ,21716,595138,"3,65"
2022,3,08,ATLÁNTICO,455091,2774958,"16,40"
2022,4,76,VALLE DEL CAUCA,918562,4626064,"19,86"
2022,3,20,CESAR,130352,1349162,"9,66"
2023,1,08,ATLÁNTICO,469519,2803565,"16,75"
2023,3,86,PUTUMAYO,20002,383042,"5,22"
2022,2,25,CUNDINAMARCA,588960,3334637,"17,66"
2023,2,25,CUNDINAMARCA,644555,3445327,"18,71"
2022,2,54,NORTE DE SANTANDER,195432,1678975,"11,64"
2022,4,70,SUCRE,71060,980942,"7,24"
2023,3,11,BOGOTÁ D.C.,2251960,7907281,"28,48"
2022,3,23,CÓRDOBA,127872,1882211,"6,79"
2022,4,44,LA GUAJIRA,50805,1017121,"4,99"
2021,2,47,MAGDALENA,131371,1454154,"9,03"
2022,3,95,GUAVIARE,1763,94625,"1,86"
2022,3,44,LA GUAJIRA,52756,1017121,"5,19"
2021,2,17,CALDAS,158127,1028635,"15,37"
2022,3,50,META,158492,1113810,"14,23"
2021,3,63,QUINDÍO,123508,557099,"22,17"
2023,2,05,ANTIOQUIA,1624379,6848360,"23,72"
2021,4,08,ATLÁNTICO,426313,2741002,"15,55"
2022,1,95,GUAVIARE,2129,94625,"2,25"
2021,2,99,VICHADA,1445,118270,"1,22"
2023,2,13,BOLÍVAR,271506,2247283,"12,08"
2022,4,86,PUTUMAYO,10452,377095,"2,77"
2022,3,99,VICHADA,992,120942,"0,82"
2022,4,27,CHOCÓ,24672,584521,"4,22"
2022,1,73,TOLIMA,197184,1367802,"14,42"
2022,2,50,META,156514,1113810,"14,05"
2022,4,25,CUNDINAMARCA,612263,3334637,"18,36"
2022,1,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4225,62255,"6,79"
2022,4,11,BOGOTÁ D.C.,2269823,7873316,"28,83"
2021,3,99,VICHADA,1421,118270,"1,20"
2022,4,68,SANTANDER,429054,2335238,"18,37"
2023,1,05,ANTIOQUIA,1643526,6848360,"24,00"
2022,3,47,MAGDALENA,144275,1476366,"9,77"
2021,4,52,NARIÑO,123137,1678786,"7,33"
2021,4,97,VAUPÉS,70,44378,"0,16"
2021,2,52,NARIÑO,114968,1678786,"6,85"
2021,3,05,ANTIOQUIA,1491948,6726219,"22,18"
2022,2,08,ATLÁNTICO,447737,2774958,"16,13"
2022,2,86,PUTUMAYO,11177,377095,"2,96"
2023,1,86,PUTUMAYO,12707,383042,"3,32"
2021,3,76,VALLE DEL CAUCA,886712,4613764,"19,22"
2021,1,95,GUAVIARE,2636,91717,"2,87"
2021,1,27,CHOCÓ,27645,573848,"4,82"
2022,4,18,CAQUETA,36105,421797,"8,56"
2023,3,05,ANTIOQUIA,1615103,6848360,"23,58"
2022,1,66,RISARALDA,209397,970138,"21,58"
2023,2,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",11506,62269,"18,48"
2022,1,15,BOYACÁ,156714,1285035,"12,20"
2023,1,50,META,163440,1130085,"14,46"
2023,3,08,ATLÁNTICO,470721,2803565,"16,79"
2023,1,47,MAGDALENA,149149,1496163,"9,97"
2021,2,27,CHOCÓ,28155,573848,"4,91"
2023,3,18,CAQUETA,34767,425053,"8,18"
2022,3,91,AMAZONAS,1293,83690,"1,54"
2023,3,54,NORTE DE SANTANDER,188319,1696740,"11,10"
2021,1,54,NORTE DE SANTANDER,187310,1654341,"11,32"
2023,2,70,SUCRE,71836,994060,"7,23"
2022,4,41,HUILA,147296,1164463,"12,65"
2021,3,47,MAGDALENA,143430,1454154,"9,86"
2021,3,81,ARAUCA,24392,300637,"8,11"
2022,1,63,QUINDÍO,127869,559810,"22,84"
2022,1,94,GUAINÍA,766,55091,"1,39"
2022,4,05,ANTIOQUIA,1645915,6787846,"24,25"
2022,4,52,NARIÑO,125804,1689002,"7,45"
2021,4,13,BOLÍVAR,234257,2202773,"10,63"
2023,3,20,CESAR,136787,1373581,"9,96"
2021,2,54,NORTE DE SANTANDER,191078,1654341,"11,55"
2021,3,70,SUCRE,66050,966893,"6,83"
2021,3,15,BOYACÁ,155154,1271639,"12,20"
2021,4,47,MAGDALENA,146124,1454154,"10,05"
2023,1,81,ARAUCA,26180,313097,"8,36"
2023,3,99,VICHADA,813,123304,"0,66"
2022,2,17,CALDAS,162117,1034151,"15,68"
2021,4,27,CHOCÓ,27323,573848,"4,76"
2022,4,97,VAUPÉS,105,45579,"0,23"
2022,1,81,ARAUCA,32180,307628,"10,46"
2021,3,17,CALDAS,155984,1028635,"15,16"
2021,2,11,BOGOTÁ D.C.,2165658,7823334,"27,68"
2021,1,99,VICHADA,1521,118270,"1,29"
2021,3,50,META,146429,1098104,"13,33"
2022,1,19,CAUCA,94952,1541265,"6,16"
2022,4,19,CAUCA,98771,1541265,"6,41"
2021,2,97,VAUPÉS,50,44378,"0,11"
2023,3,19,CAUCA,106627,1558045,"6,84"
2023,2,18,CAQUETA,34774,425053,"8,18"
2021,1,66,RISARALDA,217159,968287,"22,43"
2022,1,11,BOGOTÁ D.C.,2240695,7873316,"28,46"
2021,3,95,GUAVIARE,2406,91717,"2,62"
2021,4,81,ARAUCA,24913,300637,"8,29"
2022,3,41,HUILA,146224,1164463,"12,56"
2023,1,68,SANTANDER,429084,2357127,"18,20"
2022,4,47,MAGDALENA,145644,1476366,"9,87"
2021,3,27,CHOCÓ,27335,573848,"4,76"
2022,3,94,GUAINÍA,958,55091,"1,74"
2023,3,13,BOLÍVAR,251635,2247283,"11,20"
2021,1,70,SUCRE,62476,966893,"6,46"
2021,2,95,GUAVIARE,2514,91717,"2,74"
2021,4,19,CAUCA,92899,1525284,"6,09"
2021,2,20,CESAR,122573,1322378,"9,27"
2023,3,70,SUCRE,65403,994060,"6,58"
2022,2,05,ANTIOQUIA,1574974,6787846,"23,20"
2021,2,66,RISARALDA,219136,968287,"22,63"
2021,3,20,CESAR,128755,1322378,"9,74"
2023,3,23,CÓRDOBA,111986,1898911,"5,90"
2022,3,17,CALDAS,179314,1034151,"17,34"
2022,3,73,TOLIMA,211683,1367802,"15,48"
2023,3,73,TOLIMA,230138,1374384,"16,74"
2021,4,85,CASANARE,54243,452098,"12,00"
2023,2,41,HUILA,146882,1178453,"12,46"
2022,3,97,VAUPÉS,86,45579,"0,19"
2022,3,25,CUNDINAMARCA,605394,3334637,"18,15"
2022,4,85,CASANARE,51226,459973,"11,14"
2021,2,41,HUILA,133429,1151211,"11,59"
2021,1,08,ATLÁNTICO,408866,2741002,"14,92"
2021,1,15,BOYACÁ,148395,1271639,"11,67"
2022,3,18,CAQUETA,33970,421797,"8,05"
2022,4,54,NORTE DE SANTANDER,185060,1678975,"11,02"
2021,1,05,ANTIOQUIA,1408505,6726219,"20,94"
2023,3,52,NARIÑO,129967,1699570,"7,65"
2022,3,13,BOLÍVAR,260105,2227184,"11,68"
2023,1,85,CASANARE,57618,467775,"12,32"
2022,2,97,VAUPÉS,74,45579,"0,16"
2021,4,76,VALLE DEL CAUCA,892963,4613764,"19,35"
2022,1,52,NARIÑO,122091,1689002,"7,23"
2022,1,50,META,152344,1113810,"13,68"
2023,2,91,AMAZONAS,2170,85056,"2,55"
2021,1,81,ARAUCA,22385,300637,"7,45"
2023,2,11,BOGOTÁ D.C.,2303696,7907281,"29,13"
2021,2,05,ANTIOQUIA,1464950,6726219,"21,78"
2021,3,94,GUAINÍA,1198,53583,"2,24"
2022,2,73,TOLIMA,206896,1367802,"15,13"
2022,3,05,ANTIOQUIA,1611153,6787846,"23,74"
2022,2,94,GUAINÍA,879,55091,"1,60"
2021,2,81,ARAUCA,23463,300637,"7,80"
2021,2,86,PUTUMAYO,13080,371213,"3,52"
2021,4,68,SANTANDER,405974,2312097,"17,56"
2023,2,73,TOLIMA,227723,1374384,"16,57"
2022,2,99,VICHADA,1116,120942,"0,92"
2021,4,11,BOGOTÁ D.C.,2171274,7823334,"27,75"
2022,3,81,ARAUCA,32397,307628,"10,53"
2023,3,85,CASANARE,55467,467775,"11,86"
2021,1,17,CALDAS,155785,1028635,"15,14"
2023,3,97,VAUPÉS,84,46777,"0,18"
2022,2,41,HUILA,143194,1164463,"12,30"
2022,2,85,CASANARE,51709,459973,"11,24"
2022,1,70,SUCRE,71505,980942,"7,29"
2022,1,99,VICHADA,1103,120942,"0,91"
2022,2,13,BOLÍVAR,255509,2227184,"11,47"
2022,1,25,CUNDINAMARCA,591779,3334637,"17,75"
2021,2,25,CUNDINAMARCA,554301,3233689,"17,14"
2022,4,95,GUAVIARE,1625,94625,"1,72"
2022,3,68,SANTANDER,424458,2335238,"18,18"
2023,2,81,ARAUCA,26860,313097,"8,58"
2022,1,27,CHOCÓ,28557,584521,"4,89"
2021,4,20,CESAR,119567,1322378,"9,04"
2021,3,52,NARIÑO,117642,1678786,"7,01"
2023,1,52,NARIÑO,132535,1699570,"7,80"
2023,2,50,META,166609,1130085,"14,74"
2021,1,50,META,145014,1098104,"13,21"
2021,2,91,AMAZONAS,1436,82171,"1,75"
2023,2,17,CALDAS,172529,1040284,"16,58"
2021,1,97,VAUPÉS,46,44378,"0,10"
2021,1,18,CAQUETA,33973,418267,"8,12"
2022,3,15,BOYACÁ,160426,1285035,"12,48"
2021,3,41,HUILA,136554,1151211,"11,86"
2021,1,63,QUINDÍO,123283,557099,"22,13"
2022,3,19,CAUCA,92209,1541265,"5,98"
2021,1,85,CASANARE,50362,452098,"11,14"
2022,3,76,VALLE DEL CAUCA,915612,4626064,"19,79"
2023,3,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",11440,62269,"18,37"
2022,1,97,VAUPÉS,79,45579,"0,17"
2021,1,41,HUILA,134429,1151211,"11,68"
2022,2,20,CESAR,135737,1349162,"10,06"
2022,1,86,PUTUMAYO,11119,377095,"2,95"
2023,2,94,GUAINÍA,726,56551,"1,28"
2021,1,91,AMAZONAS,1679,82171,"2,04"
2022,2,81,ARAUCA,22138,307628,"7,20"
2023,2,15,BOYACÁ,162694,1298800,"12,53"
2021,3,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",4397,62159,"7,07"
2021,1,23,CÓRDOBA,115273,1864336,"6,18"
2021,2,08,ATLÁNTICO,422841,2741002,"15,43"
2022,1,68,SANTANDER,417608,2335238,"17,88"
2021,3,86,PUTUMAYO,14771,371213,"3,98"
2022,4,08,ATLÁNTICO,471543,2774958,"16,99"
2021,3,85,CASANARE,52846,452098,"11,69"
2022,4,23,CÓRDOBA,126895,1882211,"6,74"
2022,2,44,LA GUAJIRA,52922,1017121,"5,20"
2021,2,70,SUCRE,65207,966893,"6,74"
2021,4,91,AMAZONAS,1251,82171,"1,52"
2022,2,11,BOGOTÁ D.C.,2248809,7873316,"28,56"
2021,2,94,GUAINÍA,1369,53583,"2,55"
2021,1,13,BOLÍVAR,207643,2202773,"9,43"
2021,3,23,CÓRDOBA,120463,1864336,"6,46"
2021,4,70,SUCRE,66810,966893,"6,91"
2022,2,27,CHOCÓ,29341,584521,"5,02"
2023,3,50,META,179395,1130085,"15,87"
2023,1,76,VALLE DEL CAUCA,926376,4638029,"19,97"
2022,4,73,TOLIMA,214413,1367802,"15,68"
2023,3,63,QUINDÍO,127455,563076,"22,64"
2021,1,76,VALLE DEL CAUCA,879946,4613764,"19,07"
2022,1,18,CAQUETA,37375,421797,"8,86"
2021,3,68,SANTANDER,395235,2312097,"17,09"
2021,4,15,BOYACÁ,160522,1271639,"12,62"
2021,1,86,PUTUMAYO,26274,371213,"7,08"
2023,3,76,VALLE DEL CAUCA,916250,4638029,"19,76"
2023,2,76,VALLE DEL CAUCA,925771,4638029,"19,96"
2021,3,97,VAUPÉS,62,44378,"0,14"
2023,1,25,CUNDINAMARCA,651336,3445327,"18,90"
2022,3,52,NARIÑO,122798,1689002,"7,27"
2021,2,63,QUINDÍO,124747,557099,"22,39"
2023,3,15,BOYACÁ,162016,1298800,"12,47"
2023,3,95,GUAVIARE,1382,97616,"1,42"
2021,2,19,CAUCA,104264,1525284,"6,84"
2023,2,19,CAUCA,98736,1558045,"6,34"
2021,1,11,BOGOTÁ D.C.,2139304,7823334,"27,35"
2021,1,19,CAUCA,100855,1525284,"6,61"
2023,3,27,CHOCÓ,20683,595138,"3,48"
