CodDepto,Departamento,CodMunicipio,Municipio,IDRegimen,Año,Mes,NumPersonas
15,BOYACA,15293,GACHANTIVÁ,S,2022,4,2194
23,CORDOBA,23350,LA APARTADA,E,2022,4,103
15,BOYACA,15681,SAN PABLO DE BORBUR,C,2022,4,761
68,SANTANDER,68207,CONCEPCIÓN,C,2022,4,405
68,SANTANDER,68820,TONA,S,2022,4,4595
20,CESAR,20570,PUEBLO BELLO,C,2022,4,839
68,SANTANDER,68895,ZAPATOCA,C,2022,4,2506
70,SUCRE,70717,SAN PEDRO,C,2022,4,1305
05,ANTIOQUIA,05887,YARUMAL,E,2022,4,881
05,ANTIOQUIA,05038,ANGOSTURA,E,2022,4,144
47,MAGDALENA,47161,CERRO SAN ANTONIO,E,2022,4,114
25,CUNDINAMARCA,25599,APULO (RAFAEL REYES),C,2022,4,2125
20,CESAR,20045,BECERRIL,S,2022,4,17026
73,TOLIMA,73026,ALVARADO,C,2022,4,1376
52,NARINO,52694,SAN PEDRO DE CARTAGO,E,2022,4,60
13,BOLIVAR,13670,SAN PABLO,E,2022,4,144
15,BOYACA,15464,MONGUA,E,2022,4,29
05,ANTIOQUIA,05197,COCORNÁ,C,2022,4,2739
19,CAUCA,19256,EL TAMBO,S,2022,4,41934
25,CUNDINAMARCA,25168,CHAGUANÍ,E,2022,4,24
68,SANTANDER,68468,MOLAGAVITA,E,2022,4,87
05,ANTIOQUIA,05604,REMEDIOS,C,2022,4,6174
50,META,50150,CASTILLA LA NUEVA,E,2022,4,188
13,BOLIVAR,13490,NOROSÍ,S,2022,4,5840
17,CALDAS,17662,SAMANÁ,C,2022,4,2252
20,CESAR,20550,PELAYA,E,2022,4,401
15,BOYACA,15542,PESCA,C,2022,4,579
54,NORTE DE SANTANDER,54498,OCAÑA,C,2022,4,38090
54,NORTE DE SANTANDER,54109,BUCARASICA,S,2022,4,4007
97,VAUPES,97889,YAVARATÉ (CD.),E,2022,4,3
41,HUILA,41016,AIPE,C,2022,4,3660
68,SANTANDER,68773,SUCRE,C,2022,4,343
25,CUNDINAMARCA,25736,SESQUILÉ,E,2022,4,83
81,ARAUCA,81794,TAME,C,2022,4,9299
05,ANTIOQUIA,05467,MONTEBELLO,S,2022,4,4355
52,NARINO,52233,CUMBITARA,E,2022,4,99
25,CUNDINAMARCA,25120,CABRERA,E,2022,4,27
81,ARAUCA,81065,ARAUQUITA,C,2022,4,4585
13,BOLIVAR,13458,MONTECRISTO,S,2022,4,9113
52,NARINO,52585,PUPIALES,C,2022,4,1090
15,BOYACA,15172,CHINAVITA,C,2022,4,269
76,VALLE,76845,ULLOA,C,2022,4,911
50,META,50251,EL CASTILLO,S,2022,4,6553
50,META,50223,CUBARRAL,C,2022,4,850
66,RISARALDA,66572,PUEBLO RICO,E,2022,4,947
41,HUILA,41013,AGRADO,S,2022,4,7034
76,VALLE,76670,SAN PEDRO,S,2022,4,7042
73,TOLIMA,73030,AMBALEMA,C,2022,4,1615
50,META,50568,PUERTO GAITÁN,C,2022,4,21841
25,CUNDINAMARCA,25317,GUACHETÁ,C,2022,4,8775
95,GUAVIARE,95025,EL RETORNO,S,2022,4,10513
13,BOLIVAR,13244,EL CARMEN DE BOLÍVAR,C,2022,4,8705
94,GUAINIA,94343,BARRANCO MINAS (CD.),C,2022,4,285
81,ARAUCA,81001,ARAUCA,E,2022,4,2156
19,CAUCA,19392,LA SIERRA,S,2022,4,9616
05,ANTIOQUIA,05361,ITUANGO,C,2022,4,2689
27,CHOCO,27073,BAGADÓ,C,2022,4,247
05,ANTIOQUIA,05034,ANDES,C,2022,4,10113
76,VALLE,76736,SEVILLA,S,2022,4,30225
73,TOLIMA,73555,PLANADAS,C,2022,4,2302
66,RISARALDA,66170,DOSQUEBRADAS,S,2022,4,79820
52,NARINO,52490,OLAYA HERRERA,E,2022,4,506
70,SUCRE,70473,MORROA,E,2022,4,187
73,TOLIMA,73671,SALDAÑA,S,2022,4,8757
23,CORDOBA,23672,SAN ANTERO,S,2022,4,25140
76,VALLE,76895,ZARZAL,C,2022,4,20015
05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,S,2022,4,16650
85,CASANARE,85300,SABANALARGA,E,2022,4,79
68,SANTANDER,68077,BARBOSA,C,2022,4,10892
23,CORDOBA,23855,VALENCIA,E,2022,4,758
76,VALLE,76318,GUACARÍ,C,2022,4,15089
68,SANTANDER,68682,SAN JOAQUÍN,C,2022,4,245
44,LA GUAJIRA,44874,VILLANUEVA,E,2022,4,413
25,CUNDINAMARCA,25658,SAN FRANCISCO,E,2022,4,66
52,NARINO,52696,SANTA BÁRBARA,E,2022,4,192
47,MAGDALENA,47460,NUEVA GRANADA,S,2022,4,19530
08,ATLANTICO,08141,CANDELARIA,E,2022,4,79
15,BOYACA,15185,CHITARAQUE,S,2022,4,4817
17,CALDAS,17272,FILADELFIA,C,2022,4,1757
17,CALDAS,17433,MANZANARES,C,2022,4,2854
15,BOYACA,15204,COMBITA,C,2022,4,1103
52,NARINO,52885,YACUANQUER,E,2022,4,50
68,SANTANDER,68266,ENCISO,C,2022,4,348
25,CUNDINAMARCA,25123,CACHIPAY,S,2022,4,5065
85,CASANARE,85430,TRINIDAD,S,2022,4,9761
47,MAGDALENA,47555,PLATO,S,2022,4,52208
05,ANTIOQUIA,05091,BETANIA,S,2022,4,6212
25,CUNDINAMARCA,25486,NEMOCÓN,E,2022,4,62
15,BOYACA,15507,OTANCHE,C,2022,4,1197
15,BOYACA,15667,SAN LUIS DE GACENO,S,2022,4,3187
52,NARINO,52036,ANCUYÁ,S,2022,4,6310
25,CUNDINAMARCA,25402,LA VEGA,E,2022,4,465
73,TOLIMA,73411,LÍBANO,E,2022,4,827
05,ANTIOQUIA,05093,BETULIA,E,2022,4,294
68,SANTANDER,68745,SIMACOTA,E,2022,4,164
17,CALDAS,17442,MARMATO,E,2022,4,120
05,ANTIOQUIA,05789,TÁMESIS,C,2022,4,4528
18,CAQUETA,18150,CARTAGENA DEL CHAIRÁ,S,2022,4,29638
25,CUNDINAMARCA,25368,JERUSALÉN,E,2022,4,29
05,ANTIOQUIA,05809,TITIRIBÍ,C,2022,4,3833
68,SANTANDER,68575,PUERTO WILCHES,C,2022,4,12506
11,BOGOTA D.C.,11001,BOGOTÁ D.C.,C,2022,4,6410877
05,ANTIOQUIA,05284,FRONTINO,S,2022,4,18296
73,TOLIMA,73226,CUNDAY,C,2022,4,649
73,TOLIMA,73873,VILLARRICA,C,2022,4,309
52,NARINO,52573,PUERRÉS,S,2022,4,7280
25,CUNDINAMARCA,25743,SILVANIA,C,2022,4,2929
99,VICHADA,99624,SANTA ROSALÍA,S,2022,4,2589
13,BOLIVAR,13062,ARROYOHONDO,C,2022,4,706
23,CORDOBA,23570,PUEBLO NUEVO,E,2022,4,574
23,CORDOBA,23682,SAN JOSÉ DE URE,C,2022,4,541
19,CAUCA,19698,SANTANDER DE QUILICHAO,S,2022,4,69602
41,HUILA,41306,GIGANTE,E,2022,4,597
15,BOYACA,15522,PANQUEBA,C,2022,4,152
15,BOYACA,15757,SOCHA,C,2022,4,4527
44,LA GUAJIRA,44855,URUMITA,S,2022,4,7075
15,BOYACA,15879,VIRACACHÁ,E,2022,4,10
85,CASANARE,85400,TAMARA,E,2022,4,147
19,CAUCA,19075,BALBOA,E,2022,4,236
54,NORTE DE SANTANDER,54385,LA ESPERANZA,C,2022,4,666
47,MAGDALENA,47745,SITIONUEVO,E,2022,4,93
15,BOYACA,15646,SAMACÁ,E,2022,4,110
68,SANTANDER,68271,FLORIÁN,E,2022,4,161
05,ANTIOQUIA,05895,ZARAGOZA,S,2022,4,24036
05,ANTIOQUIA,05660,SAN LUIS,C,2022,4,3565
63,QUINDIO,63470,MONTENEGRO,C,2022,4,10665
25,CUNDINAMARCA,25871,VILLAGÓMEZ,C,2022,4,189
15,BOYACA,15272,FIRAVITOBA,C,2022,4,1005
27,CHOCO,27745,SIPÍ,C,2022,4,107
66,RISARALDA,66594,QUINCHÍA,S,2022,4,20761
17,CALDAS,17777,SUPÍA,E,2022,4,436
20,CESAR,20750,SAN DIEGO,C,2022,4,931
25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,C,2022,4,1555
15,BOYACA,15693,SANTA ROSA DE VITERBO,S,2022,4,4916
25,CUNDINAMARCA,25772,SUESCA,C,2022,4,10510
97,VAUPES,97666,TARAIRA,S,2022,4,1343
68,SANTANDER,68820,TONA,E,2022,4,70
50,META,50711,VISTAHERMOSA,E,2022,4,101
70,SUCRE,70508,OVEJAS,C,2022,4,1658
05,ANTIOQUIA,05483,NARIÑO,E,2022,4,180
13,BOLIVAR,13001,CARTAGENA,C,2022,4,572277
68,SANTANDER,68684,SAN JOSÉ DE MIRANDA,E,2022,4,66
44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,S,2022,4,35223
68,SANTANDER,68318,GUACA,C,2022,4,378
05,ANTIOQUIA,05656,SAN JERÓNIMO,S,2022,4,7006
08,ATLANTICO,08675,SANTA LUCÍA,C,2022,4,773
54,NORTE DE SANTANDER,54206,CONVENCIÓN,C,2022,4,813
25,CUNDINAMARCA,25779,SUSA,S,2022,4,3876
86,PUTUMAYO,86760,SANTIAGO,S,2022,4,6967
68,SANTANDER,68468,MOLAGAVITA,S,2022,4,3329
15,BOYACA,15632,SABOYÁ,E,2022,4,72
13,BOLIVAR,13780,TALAIGUA NUEVO,S,2022,4,11833
52,NARINO,52699,SANTACRUZ,C,2022,4,281
76,VALLE,76020,ALCALÁ,C,2022,4,2666
